Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 03 Aug 2023 19:58:12 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1953-0019-VNM,1953,0019,,Natural,Meteorological,Storm,Tropical cyclone,,,Viet Nam,VNM,South-Eastern Asia,Asia,Southern coast,,,,,No,No,,,Kph,,,,,1953,9,26,1953,9,26,1000,,,,,,,,,,,9.162655459,,,,
1956-0050-VNM,1956,0050,,Natural,Meteorological,Storm,Tropical cyclone,,,Viet Nam,VNM,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1956,11,,1956,11,,56,,,,,,,,,,,9.288531531,,,,
1964-0063-VNM,1964,0063,,Natural,Meteorological,Storm,Tropical cyclone,,Iris,Viet Nam,VNM,South-Eastern Asia,Asia,China sea coast,,,,Yes,No,No,,,Kph,,,,,1964,9,,1964,11,,7000,,700000,,700000,,,,,50000,471770,10.59837602,,,,
1964-0004-VNM,1964,0004,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Viet Nam,VNM,South-Eastern Asia,Asia,"Saigon, Mekong delta",,,,Yes,,,,,Vaccinated,,,,,1964,1,1,1964,1,1,598,,10848,,10848,,,,,,,10.59837602,,,,
1964-0102-VNM,1964,0102,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1964,12,,1964,12,,400,,,,,,,,,,,10.59837602,,,,
1966-0070-VNM,1966,0070,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,Near Cambodia border,,,,Yes,,,,,Km2,,,,,1966,9,20,1966,9,20,31,,125541,70361,195902,,,,,10000,90163,11.09099715,,,,
1970-0059-VNM,1970,0059,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,North,,,,,,,,,Km2,,,,,1970,10,26,1970,10,26,237,,204000,,204000,,,,,,,13.26647996,,,,
1971-0029-VNM,1971,0029,,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,Viet Nam,VNM,South-Eastern Asia,Asia,Quang Ngai province,,,,,,,,,Kph,,,,,1971,5,1,1971,5,1,23,,50000,,50000,,,,,,,13.83598355,,,,
1971-0057-VNM,1971,0057,,Natural,Meteorological,Storm,Tropical cyclone,,,Viet Nam,VNM,South-Eastern Asia,Asia,North,,,,,,,,,Kph,,,,,1971,10,23,1971,10,23,89,,,,,,,,,,,13.83598355,,,,
1973-0047-VNM,1973,0047,,Natural,Meteorological,Storm,Tropical cyclone,,,Viet Nam,VNM,South-Eastern Asia,Asia,Binh Dinh,,,,,,,,,Kph,,,,,1973,11,10,1973,11,10,100,,150000,,150000,,,,,,,15.17145282,,,,
1977-0088-VNM,1977,0088,,Natural,Meteorological,Storm,Tropical cyclone,,Sarah,Viet Nam,VNM,South-Eastern Asia,Asia,Haiphong,,,,,,,,,Kph,,,,,1977,7,22,1977,7,22,,,1000,,1000,,,,,,,20.7098325,,,,
1978-0105-VNM,1978,0105,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,Mekong Delta,,,,,,,,,Km2,,,,,1978,8,,1978,8,,74,,4000000,79000,4079000,,,,,,,22.29019504,,,,
